Timestamp,Model,Input Tokens,Output Tokens,Input Cost ($),Output Cost ($),Total Cost ($),Prompt
2025-07-02T14:44:55.031759,anthropic/claude-3.5-haiku-20241022:beta,15,258,0.000012,0.001032,0.001044,Pizza delivery platforms offering salad and sides
2025-07-02T14:44:55.276606,google/gemini-2.5-flash,5,495,0.000002,0.001238,0.001239,Best value pizza delivery service
2025-07-02T14:44:55.293984,perplexity/sonar-pro,7,408,0.000021,0.006120,0.006141,Pizza delivery apps with cheese burst option
2025-07-02T14:44:55.368247,anthropic/claude-3.5-haiku-20241022:beta,14,270,0.000011,0.001080,0.001091,Online pizza ordering sites with combo deals
2025-07-02T14:44:55.379997,google/gemini-2.5-flash,5,500,0.000002,0.001250,0.001252,Quick pizza delivery options nearby
2025-07-02T14:44:55.394382,google/gemini-2.5-flash,6,496,0.000002,0.001240,0.001242,Pizza delivery platforms with meal deals
2025-07-02T14:44:55.516169,perplexity/sonar-pro,5,481,0.000015,0.007215,0.007230,Best value pizza delivery service
2025-07-02T14:44:55.520792,google/gemini-2.5-flash,8,495,0.000002,0.001238,0.001240,Where can I order pizza with sides quickly
2025-07-02T14:44:55.556430,google/gemini-2.5-flash,7,490,0.000002,0.001225,0.001227,Online pizza ordering sites with combo deals
2025-07-02T14:44:55.608991,google/gemini-2.5-flash,7,492,0.000002,0.001230,0.001232,Pizza delivery platforms offering salad and sides
2025-07-02T14:44:55.655349,google/gemini-2.5-flash,5,491,0.000002,0.001228,0.001229,Customizable pizza ordering online
2025-07-02T14:44:55.717019,google/gemini-2.5-flash,6,493,0.000002,0.001233,0.001234,Pizza delivery companies offering garlic bread
2025-07-02T14:44:55.725913,anthropic/claude-3.5-haiku-20241022:beta,14,244,0.000011,0.000976,0.000987,Pizza delivery apps with cheese burst option
2025-07-02T14:44:55.846657,google/gemini-2.5-flash,7,493,0.000002,0.001233,0.001235,Pizza delivery apps with cheese burst option
2025-07-02T14:44:55.966668,perplexity/sonar-pro,5,500,0.000015,0.007500,0.007515,Customizable pizza ordering online
2025-07-02T14:44:56.242125,google/gemini-2.5-flash,7,490,0.000002,0.001225,0.001227,Pizza delivery app with multiple crust options
2025-07-02T14:44:56.276072,google/gemini-2.5-flash,7,489,0.000002,0.001223,0.001225,Best pizza delivery service with customizable toppings
2025-07-02T14:44:56.302908,anthropic/claude-3.5-haiku-20241022:beta,14,281,0.000011,0.001124,0.001135,Pizza delivery services with late night delivery
2025-07-02T14:44:56.396063,anthropic/claude-3.5-haiku-20241022:beta,17,247,0.000014,0.000988,0.001002,Best pizza delivery service with customizable toppings
2025-07-02T14:44:56.403667,google/gemini-2.5-flash,6,494,0.000002,0.001235,0.001237,Fastest pizza delivery app in India
2025-07-02T14:44:56.447751,perplexity/sonar-pro,7,366,0.000021,0.005490,0.005511,Pizza delivery services with late night delivery
2025-07-02T14:44:56.530135,anthropic/claude-3.5-haiku-20241022:beta,16,500,0.000013,0.002000,0.002013,Pizza ordering app with build your own pizza feature
2025-07-02T14:44:56.678274,google/gemini-2.5-flash,9,487,0.000003,0.001218,0.001220,Pizza ordering app with build your own pizza feature
2025-07-02T14:44:56.683639,anthropic/claude-3.5-haiku-20241022:beta,13,285,0.000010,0.001140,0.001150,Pizza delivery platforms with meal deals
2025-07-02T14:44:56.816169,anthropic/claude-3.5-haiku-20241022:beta,15,500,0.000012,0.002000,0.002012,Pizza delivery app with multiple crust options
2025-07-02T14:44:58.325709,perplexity/sonar-pro,6,500,0.000018,0.007500,0.007518,Pizza delivery platforms with meal deals
2025-07-02T14:44:58.614417,anthropic/claude-3.5-haiku-20241022:beta,13,495,0.000010,0.001980,0.001990,Customizable pizza ordering online
2025-07-02T14:45:00.542244,perplexity/sonar-pro,7,492,0.000021,0.007380,0.007401,Best pizza delivery service with customizable toppings
2025-07-02T14:45:00.561061,openai/o4-mini,7,247,0.000008,0.001087,0.001094,Affordable fast pizza delivery in my city
2025-07-02T14:45:00.562107,openai/o4-mini,8,276,0.000009,0.001214,0.001223,Where can I order pizza with sides quickly
2025-07-02T14:45:00.611368,openai/o4-mini,7,334,0.000008,0.001470,0.001477,Pizza delivery services with late night delivery
2025-07-02T14:45:01.328683,openai/o4-mini,7,585,0.000008,0.002574,0.002582,Best pizza delivery service with customizable toppings
2025-07-02T14:45:01.496432,openai/o4-mini,6,552,0.000007,0.002429,0.002435,Pizza delivery companies offering garlic bread
2025-07-02T14:45:01.605309,perplexity/sonar-pro,7,422,0.000021,0.006330,0.006351,Fastest pizza delivery app in India
2025-07-02T14:45:02.145245,openai/o4-mini,5,384,0.000005,0.001690,0.001695,Quick pizza delivery options nearby
2025-07-02T14:45:02.204118,openai/o4-mini,5,370,0.000005,0.001628,0.001634,Customizable pizza ordering online
2025-07-02T14:45:02.389339,perplexity/sonar-pro,9,500,0.000027,0.007500,0.007527,Pizza ordering app with build your own pizza feature
2025-07-02T14:45:02.515125,openai/o4-mini,7,456,0.000008,0.002006,0.002014,Pizza delivery platforms offering salad and sides
2025-07-02T14:45:02.517144,deepseek/deepseek-r1-0528,10,500,0.000005,0.001075,0.001080,Quick pizza delivery options nearby
2025-07-02T14:45:02.820942,openai/o4-mini,6,450,0.000007,0.001980,0.001987,Pizza delivery platforms with meal deals
2025-07-02T14:45:03.255965,openai/o4-mini,7,328,0.000008,0.001443,0.001451,Pizza delivery app with multiple crust options
2025-07-02T14:45:03.494622,deepseek/deepseek-r1-0528,11,500,0.000005,0.001075,0.001080,Customizable pizza ordering online
2025-07-02T14:45:03.834205,openai/o4-mini,9,449,0.000010,0.001976,0.001986,Pizza ordering app with build your own pizza feature
2025-07-02T14:45:04.312678,deepseek/deepseek-r1-0528,11,500,0.000005,0.001075,0.001080,Best value pizza delivery service
2025-07-02T14:45:04.472034,deepseek/deepseek-r1-0528,13,500,0.000006,0.001075,0.001081,Pizza delivery app with multiple crust options
2025-07-02T14:45:04.709472,openai/o4-mini,7,157,0.000008,0.000691,0.000699,Fastest pizza delivery app in India
2025-07-02T14:45:04.789269,openai/o4-mini,5,244,0.000005,0.001074,0.001079,Best value pizza delivery service
2025-07-02T14:45:05.221000,openai/o4-mini,7,187,0.000008,0.000823,0.000831,Online pizza ordering sites with combo deals
2025-07-02T14:45:06.759420,anthropic/claude-3.5-haiku-20241022:beta,13,205,0.000010,0.000820,0.000830,Pizza delivery with wings and sides
2025-07-02T14:45:07.916861,openai/o4-mini,7,75,0.000008,0.000330,0.000338,Pizza delivery apps with cheese burst option
2025-07-02T14:45:08.885808,anthropic/claude-3.5-haiku-20241022:beta,13,176,0.000010,0.000704,0.000714,Cheap pizza delivery near me
2025-07-02T14:45:09.761443,perplexity/sonar-pro,5,344,0.000015,0.005160,0.005175,Cheap pizza delivery near me
2025-07-02T14:45:10.038788,google/gemini-2.5-flash,6,481,0.000002,0.001203,0.001204,Pizza delivery with wings and sides
2025-07-02T14:45:10.253706,anthropic/claude-3.5-haiku-20241022:beta,16,228,0.000013,0.000912,0.000925,Pizza services that deliver under 30 minutes
2025-07-02T14:45:10.801641,google/gemini-2.5-flash,5,491,0.000002,0.001228,0.001229,Pizza ordering websites with coupons
2025-07-02T14:45:10.822173,perplexity/sonar-pro,6,339,0.000018,0.005085,0.005103,Pizza delivery with wings and sides
2025-07-02T14:45:10.904742,google/gemini-2.5-flash,9,499,0.000003,0.001248,0.001250,Pizza services that deliver under 30 minutes
2025-07-02T14:45:11.186363,perplexity/sonar-pro,5,347,0.000015,0.005205,0.005220,Pizza ordering websites with coupons
2025-07-02T14:45:11.467698,anthropic/claude-3.5-haiku-20241022:beta,14,275,0.000011,0.001100,0.001111,Pizza ordering websites with coupons
2025-07-02T14:45:11.478266,google/gemini-2.5-flash,5,499,0.000002,0.001248,0.001249,Cheap pizza delivery near me
2025-07-02T14:45:12.918810,deepseek/deepseek-r1-0528,14,500,0.000007,0.001075,0.001082,Pizza delivery services with late night delivery
2025-07-02T14:45:13.768828,deepseek/deepseek-r1-0528,14,500,0.000007,0.001075,0.001082,Where can I order pizza with sides quickly
2025-07-02T14:45:13.779390,deepseek/deepseek-r1-0528,13,500,0.000006,0.001075,0.001081,Pizza delivery companies offering garlic bread
2025-07-02T14:45:14.079328,deepseek/deepseek-r1-0528,14,500,0.000007,0.001075,0.001082,Pizza delivery apps with cheese burst option
2025-07-02T14:45:14.985481,openai/o4-mini,5,273,0.000005,0.001201,0.001207,Cheap pizza delivery near me
2025-07-02T14:45:15.884892,deepseek/deepseek-r1-0528,13,500,0.000006,0.001075,0.001081,Online pizza ordering sites with combo deals
2025-07-02T14:45:16.427496,openai/o4-mini,6,185,0.000007,0.000814,0.000821,Pizza delivery with wings and sides
2025-07-02T14:45:17.809821,perplexity/sonar-pro,8,422,0.000024,0.006330,0.006354,Pizza services that deliver under 30 minutes
2025-07-02T14:45:18.256346,openai/o4-mini,5,582,0.000005,0.002561,0.002566,Pizza ordering websites with coupons
2025-07-02T14:45:18.490099,deepseek/deepseek-r1-0528,14,500,0.000007,0.001075,0.001082,Affordable fast pizza delivery in my city
2025-07-02T14:45:19.347697,perplexity/sonar-pro,5,310,0.000015,0.004650,0.004665,Online pizza platforms with salads
2025-07-02T14:45:19.648867,perplexity/sonar-pro,8,339,0.000024,0.005085,0.005109,Pizza services with veg and non veg sides
2025-07-02T14:45:19.674367,deepseek/deepseek-r1-0528,13,500,0.000006,0.001075,0.001081,Best pizza delivery service with customizable toppings
2025-07-02T14:45:19.763365,deepseek/deepseek-r1-0528,12,500,0.000006,0.001075,0.001081,Cheap pizza delivery near me
2025-07-02T14:45:19.802624,google/gemini-2.5-flash,8,484,0.000002,0.001210,0.001212,Pizza services with veg and non veg sides
2025-07-02T14:45:19.901611,google/gemini-2.5-flash,5,493,0.000002,0.001233,0.001234,Online pizza platforms with salads
2025-07-02T14:45:20.268885,google/gemini-2.5-flash,6,496,0.000002,0.001240,0.001242,Pizza delivery options with family packs
2025-07-02T14:45:20.457795,deepseek/deepseek-r1-0528,14,500,0.000007,0.001075,0.001082,Pizza delivery platforms offering salad and sides
2025-07-02T14:45:20.742014,anthropic/claude-3.5-haiku-20241022:beta,13,281,0.000010,0.001124,0.001134,Online pizza platforms with salads
2025-07-02T14:45:20.775418,deepseek/deepseek-r1-0528,13,500,0.000006,0.001075,0.001081,Fastest pizza delivery app in India
2025-07-02T14:45:21.085784,anthropic/claude-3.5-haiku-20241022:beta,17,303,0.000014,0.001212,0.001226,Pizza services with veg and non veg sides
2025-07-02T14:45:21.180592,anthropic/claude-3.5-haiku-20241022:beta,14,289,0.000011,0.001156,0.001167,Pizza delivery options with family packs
2025-07-02T14:45:21.383877,google/gemini-2.5-flash,5,486,0.000002,0.001215,0.001217,Pizza apps with easy customization
2025-07-02T14:45:21.492391,perplexity/sonar-pro,5,438,0.000015,0.006570,0.006585,Pizza apps with easy customization
2025-07-02T14:45:21.714267,anthropic/claude-3.5-haiku-20241022:beta,13,304,0.000010,0.001216,0.001226,Pizza apps with easy customization
2025-07-02T14:45:22.206515,google/gemini-2.5-flash,6,492,0.000002,0.001230,0.001232,Best pizza delivery chains in India
2025-07-02T14:45:22.444284,anthropic/claude-3.5-haiku-20241022:beta,13,256,0.000010,0.001024,0.001034,Best pizza delivery chains in India
2025-07-02T14:45:22.699810,openai/o4-mini,8,459,0.000009,0.002020,0.002028,Pizza services that deliver under 30 minutes
2025-07-02T14:45:23.060760,google/gemini-2.5-flash,6,501,0.000002,0.001253,0.001254,Pizza ordering platforms with loyalty program
2025-07-02T14:45:23.351053,perplexity/sonar-pro,6,488,0.000018,0.007320,0.007338,Pizza delivery options with family packs
2025-07-02T14:45:25.097903,perplexity/sonar-pro,6,269,0.000018,0.004035,0.004053,Pizza delivery sites with online payment
2025-07-02T14:45:26.040081,google/gemini-2.5-flash,5,496,0.000002,0.001240,0.001241,Pizza apps with order tracking
2025-07-02T14:45:26.079901,perplexity/sonar-pro,6,476,0.000018,0.007140,0.007158,Pizza ordering platforms with loyalty program
2025-07-02T14:45:26.802675,google/gemini-2.5-flash,5,495,0.000002,0.001238,0.001239,Pizza delivery for birthday parties
2025-07-02T14:45:27.087963,deepseek/deepseek-r1-0528,13,500,0.000006,0.001075,0.001081,Pizza delivery with wings and sides
2025-07-02T14:45:27.342971,perplexity/sonar-pro,6,421,0.000018,0.006315,0.006333,Best pizza delivery chains in India
2025-07-02T14:45:27.393051,anthropic/claude-3.5-haiku-20241022:beta,13,280,0.000010,0.001120,0.001130,Fast pizza delivery for office lunch
2025-07-02T14:45:27.681037,google/gemini-2.5-flash,6,486,0.000002,0.001215,0.001217,Fast pizza delivery for office lunch
2025-07-02T14:45:27.740911,anthropic/claude-3.5-haiku-20241022:beta,12,308,0.000010,0.001232,0.001242,Pizza apps with order tracking
2025-07-02T14:45:27.760180,anthropic/claude-3.5-haiku-20241022:beta,13,274,0.000010,0.001096,0.001106,Pizza delivery sites with online payment
2025-07-02T14:45:27.821964,anthropic/claude-3.5-haiku-20241022:beta,12,297,0.000010,0.001188,0.001198,Pizza delivery for birthday parties
2025-07-02T14:45:28.171443,openai/o4-mini,5,416,0.000005,0.001830,0.001836,Pizza apps with easy customization
2025-07-02T14:45:28.434706,openai/o4-mini,8,461,0.000009,0.002028,0.002037,Pizza services with veg and non veg sides
2025-07-02T14:45:28.629277,perplexity/sonar-pro,5,261,0.000015,0.003915,0.003930,Pizza apps with order tracking
2025-07-02T14:45:28.793261,openai/o4-mini,6,610,0.000007,0.002684,0.002691,Pizza delivery options with family packs
2025-07-02T14:45:28.859364,deepseek/deepseek-r1-0528,12,500,0.000006,0.001075,0.001081,Pizza apps with order tracking
2025-07-02T14:45:29.091395,openai/o4-mini,6,521,0.000007,0.002292,0.002299,Best pizza delivery chains in India
2025-07-02T14:45:29.789130,anthropic/claude-3.5-haiku-20241022:beta,13,500,0.000010,0.002000,0.002010,Pizza ordering platforms with loyalty program
2025-07-02T14:45:29.992183,perplexity/sonar-pro,5,438,0.000015,0.006570,0.006585,Pizza delivery for birthday parties
2025-07-02T14:45:30.028316,google/gemini-2.5-flash,6,497,0.000002,0.001243,0.001244,Pizza delivery sites with online payment
2025-07-02T14:45:30.257518,openai/o4-mini,5,280,0.000005,0.001232,0.001238,Pizza delivery for birthday parties
2025-07-02T14:45:30.399514,deepseek/deepseek-r1-0528,11,500,0.000005,0.001075,0.001080,Online pizza platforms with salads
2025-07-02T14:45:30.400518,openai/o4-mini,5,15,0.000005,0.000066,0.000072,Online pizza platforms with salads
2025-07-02T14:45:30.749781,deepseek/deepseek-r1-0528,16,500,0.000008,0.001075,0.001083,Pizza ordering app with build your own pizza feature
2025-07-02T14:45:30.872739,deepseek/deepseek-r1-0528,13,500,0.000006,0.001075,0.001081,Pizza delivery platforms with meal deals
2025-07-02T14:45:31.159987,perplexity/sonar-pro,6,395,0.000018,0.005925,0.005943,Fast pizza delivery for office lunch
2025-07-02T14:45:33.232786,openai/o4-mini,6,559,0.000007,0.002460,0.002466,Fast pizza delivery for office lunch
2025-07-02T14:45:33.775866,deepseek/deepseek-r1-0528,15,500,0.000007,0.001075,0.001082,Pizza services that deliver under 30 minutes
2025-07-02T14:45:33.858996,perplexity/sonar-pro,5,208,0.000015,0.003120,0.003135,Pizza delivery with dessert options
2025-07-02T14:45:33.862104,perplexity/sonar-pro,5,476,0.000015,0.007140,0.007155,Pizza platforms with multiple outlets
2025-07-02T14:45:33.888210,google/gemini-2.5-flash,5,495,0.000002,0.001238,0.001239,Pizza platforms with multiple outlets
2025-07-02T14:45:33.909755,anthropic/claude-3.5-haiku-20241022:beta,12,302,0.000010,0.001208,0.001218,Pizza platforms with multiple outlets
2025-07-02T14:45:35.026730,openai/o4-mini,5,221,0.000005,0.000972,0.000978,Pizza apps with order tracking
2025-07-02T14:45:35.436022,deepseek/deepseek-r1-0528,12,500,0.000006,0.001075,0.001081,Best pizza delivery chains in India
2025-07-02T14:45:36.583991,anthropic/claude-3.5-haiku-20241022:beta,13,272,0.000010,0.001088,0.001098,Pizza delivery with dessert options
2025-07-02T14:45:36.793647,anthropic/claude-3.5-haiku-20241022:beta,14,275,0.000011,0.001100,0.001111,Pizza services with gluten free options
2025-07-02T14:45:37.241378,google/gemini-2.5-flash,5,492,0.000002,0.001230,0.001232,Pizza delivery with dessert options
2025-07-02T14:45:37.312573,deepseek/deepseek-r1-0528,15,500,0.000007,0.001075,0.001082,Pizza services with veg and non veg sides
2025-07-02T14:45:37.753867,google/gemini-2.5-flash,6,499,0.000002,0.001248,0.001249,Pizza services with gluten free options
2025-07-02T14:45:38.074506,anthropic/claude-3.5-haiku-20241022:beta,13,500,0.000010,0.002000,0.002010,Pizza ordering app with group orders
2025-07-02T14:45:38.092683,deepseek/deepseek-r1-0528,13,500,0.000006,0.001075,0.001081,Pizza delivery options with family packs
2025-07-02T14:45:38.225159,google/gemini-2.5-flash,6,493,0.000002,0.001233,0.001234,Pizza ordering app with group orders
2025-07-02T14:45:38.498579,deepseek/deepseek-r1-0528,13,500,0.000006,0.001075,0.001081,Pizza delivery sites with online payment
2025-07-02T14:45:38.836167,openai/o4-mini,6,206,0.000007,0.000906,0.000913,Pizza ordering platforms with loyalty program
2025-07-02T14:45:40.022446,deepseek/deepseek-r1-0528,12,500,0.000006,0.001075,0.001081,Pizza ordering websites with coupons
2025-07-02T14:45:40.139718,perplexity/sonar-pro,7,258,0.000021,0.003870,0.003891,Pizza delivery services with fast cooking time
ce
2025-07-02T14:45:40.158200,perplexity/sonar-pro,6,500,0.000018,0.007500,0.007518,Pizza delivery platforms with regional presence
2025-07-02T14:45:41.040774,perplexity/sonar-pro,6,430,0.000018,0.006450,0.006468,Pizza ordering app with group orders
2025-07-02T14:45:41.151067,google/gemini-2.5-flash,7,494,0.000002,0.001235,0.001237,Pizza delivery services with fast cooking time
2025-07-02T14:45:41.437799,openai/o4-mini,6,496,0.000007,0.002182,0.002189,Pizza ordering app with group orders
2025-07-02T14:45:41.609947,deepseek/deepseek-r1-0528,11,500,0.000005,0.001075,0.001080,Pizza apps with easy customization
2025-07-02T14:45:41.884649,anthropic/claude-3.5-haiku-20241022:beta,12,264,0.000010,0.001056,0.001066,Online pizza chains delivering nationwide
2025-07-02T14:45:42.091131,anthropic/claude-3.5-haiku-20241022:beta,13,306,0.000010,0.001224,0.001234,Pizza delivery platforms with regional presence
2025-07-02T14:45:42.095159,openai/o4-mini,6,406,0.000007,0.001786,0.001793,Pizza services with gluten free options
2025-07-02T14:45:42.264883,perplexity/sonar-pro,6,500,0.000018,0.007500,0.007518,Pizza services with gluten free options
2025-07-02T14:45:42.313700,deepseek/deepseek-r1-0528,12,500,0.000006,0.001075,0.001081,Fast pizza delivery for office lunch
2025-07-02T14:45:42.467876,openai/o4-mini,5,211,0.000005,0.000928,0.000934,Pizza platforms with multiple outlets
2025-07-02T14:45:42.698310,google/gemini-2.5-flash,5,492,0.000002,0.001230,0.001232,Pizza apps offering combo meals
2025-07-02T14:45:42.922488,deepseek/deepseek-r1-0528,12,500,0.000006,0.001075,0.001081,Pizza delivery for birthday parties
2025-07-02T14:45:43.405311,anthropic/claude-3.5-haiku-20241022:beta,12,265,0.000010,0.001060,0.001070,Pizza apps offering combo meals
2025-07-02T14:45:43.448105,anthropic/claude-3.5-haiku-20241022:beta,13,256,0.000010,0.001024,0.001034,Pizza ordering sites with side dishes
2025-07-02T14:45:43.636012,anthropic/claude-3.5-haiku-20241022:beta,14,260,0.000011,0.001040,0.001051,Pizza delivery services with fast cooking time
2025-07-02T14:45:43.760309,google/gemini-2.5-flash,5,492,0.000002,0.001230,0.001232,Online pizza chains delivering nationwide
2025-07-02T14:45:44.749286,deepseek/deepseek-r1-0528,12,500,0.000006,0.001075,0.001081,Pizza ordering platforms with loyalty program
2025-07-02T14:45:44.841601,google/gemini-2.5-flash,6,228,0.000002,0.000570,0.000572,Pizza delivery with customizable crust thickness
2025-07-02T14:45:44.843588,google/gemini-2.5-flash,6,497,0.000002,0.001243,0.001244,Pizza ordering sites with side dishes
2025-07-02T14:45:45.814162,deepseek/deepseek-r1-0528,13,500,0.000006,0.001075,0.001081,Pizza services with gluten free options
2025-07-02T14:45:45.977739,deepseek/deepseek-r1-0528,12,500,0.000006,0.001075,0.001081,Pizza delivery with dessert options
2025-07-02T14:45:46.041687,perplexity/sonar-pro,6,232,0.000018,0.003480,0.003498,Pizza ordering sites with side dishes
2025-07-02T14:45:46.405311,openai/o4-mini,7,539,0.000008,0.002372,0.002379,Pizza delivery services with fast cooking time
2025-07-02T14:45:46.613125,deepseek/deepseek-r1-0528,14,500,0.000007,0.001075,0.001082,Pizza delivery services with fast cooking time
2025-07-02T14:45:46.734649,google/gemini-2.5-flash,5,489,0.000002,0.001223,0.001224,Pizza service comparison in India
2025-07-02T14:45:46.823536,perplexity/sonar-pro,5,492,0.000015,0.007380,0.007395,Pizza apps offering combo meals
2025-07-02T14:45:46.968981,anthropic/claude-3.5-haiku-20241022:beta,12,303,0.000010,0.001212,0.001222,Pizza service comparison in India
2025-07-02T14:45:47.198345,perplexity/sonar-pro,6,263,0.000018,0.003945,0.003963,Pizza ordering websites with kids menu
2025-07-02T14:45:47.418595,google/gemini-2.5-flash,6,495,0.000002,0.001238,0.001239,Pizza platforms with best customer reviews
2025-07-02T14:45:47.443266,anthropic/claude-3.5-haiku-20241022:beta,13,245,0.000010,0.000980,0.000990,Pizza platforms with best customer reviews
2025-07-02T14:45:48.050733,anthropic/claude-3.5-haiku-20241022:beta,13,269,0.000010,0.001076,0.001086,Pizza ordering websites with kids menu
2025-07-02T14:45:48.179681,google/gemini-2.5-flash,6,495,0.000002,0.001238,0.001239,Pizza ordering websites with kids menu
2025-07-02T14:45:48.694615,deepseek/deepseek-r1-0528,11,499,0.000005,0.001073,0.001078,Pizza platforms with multiple outlets
2025-07-02T14:45:49.818807,google/gemini-2.5-flash,6,450,0.000002,0.001125,0.001127,Quick pizza delivery for game night
2025-07-02T14:45:50.032656,perplexity/sonar-pro,5,491,0.000015,0.007365,0.007380,Online pizza chains delivering nationwide
2025-07-02T14:45:50.166559,openai/o4-mini,6,0,0.000007,0.000000,0.000007,Pizza delivery sites with online payment
2025-07-02T14:45:50.264796,anthropic/claude-3.5-haiku-20241022:beta,15,500,0.000012,0.002000,0.002012,Pizza delivery with customizable crust thickness
2025-07-02T14:45:50.479168,openai/o4-mini,6,561,0.000007,0.002468,0.002475,Pizza ordering sites with side dishes
2025-07-02T14:45:50.624454,perplexity/sonar-pro,7,264,0.000021,0.003960,0.003981,Pizza delivery services with meaty sides
2025-07-02T14:45:50.804327,anthropic/claude-3.5-haiku-20241022:beta,13,259,0.000010,0.001036,0.001046,Quick pizza delivery for game night
2025-07-02T14:45:51.277105,openai/o4-mini,5,471,0.000005,0.002072,0.002078,Pizza apps offering combo meals
2025-07-02T14:45:51.291705,perplexity/sonar-pro,5,500,0.000015,0.007500,0.007515,Pizza service comparison in India
2025-07-02T14:45:51.478009,deepseek/deepseek-r1-0528,13,500,0.000006,0.001075,0.001081,Pizza delivery platforms with regional presence
2025-07-02T14:45:52.014140,perplexity/sonar-pro,6,355,0.000018,0.005325,0.005343,Online pizza ordering with vegetarian options
2025-07-02T14:45:52.055103,perplexity/sonar-pro,6,397,0.000018,0.005955,0.005973,Pizza delivery with customizable crust thickness
2025-07-02T14:45:52.202028,google/gemini-2.5-flash,7,492,0.000002,0.001230,0.001232,Pizza delivery services with meaty sides
2025-07-02T14:45:52.252747,deepseek/deepseek-r1-0528,11,500,0.000005,0.001075,0.001080,Online pizza chains delivering nationwide
2025-07-02T14:45:52.527997,anthropic/claude-3.5-haiku-20241022:beta,14,260,0.000011,0.001040,0.001051,Pizza delivery services with meaty sides
2025-07-02T14:45:53.047236,google/gemini-2.5-flash,6,483,0.000002,0.001208,0.001209,Online pizza ordering with vegetarian options
2025-07-02T14:45:53.109167,anthropic/claude-3.5-haiku-20241022:beta,14,305,0.000011,0.001220,0.001231,Online pizza ordering with vegetarian options
2025-07-02T14:45:53.413575,perplexity/sonar-pro,6,296,0.000018,0.004440,0.004458,Quick pizza delivery for game night
2025-07-02T14:45:54.315842,openai/o4-mini,5,285,0.000005,0.001254,0.001260,Online pizza chains delivering nationwide
2025-07-02T14:45:54.651715,openai/o4-mini,5,194,0.000005,0.000854,0.000859,Pizza service comparison in India
2025-07-02T14:45:55.004133,google/gemini-2.5-flash,7,501,0.000002,0.001253,0.001255,Pizza delivery apps with real time updates
2025-07-02T14:45:55.202588,openai/o4-mini,6,374,0.000007,0.001646,0.001652,Pizza delivery with customizable crust thickness
2025-07-02T14:45:55.209161,perplexity/sonar-pro,6,500,0.000018,0.007500,0.007518,Pizza platforms with best customer reviews
2025-07-02T14:45:55.561149,perplexity/sonar-pro,7,242,0.000021,0.003630,0.003651,Pizza delivery apps with real time updates
2025-07-02T14:45:55.832164,deepseek/deepseek-r1-0528,13,500,0.000006,0.001075,0.001081,Pizza ordering sites with side dishes
2025-07-02T14:45:56.739191,deepseek/deepseek-r1-0528,12,499,0.000006,0.001073,0.001079,Pizza ordering app with group orders
2025-07-02T14:45:57.159009,google/gemini-2.5-flash,5,492,0.000002,0.001230,0.001232,Pizza ordering for group parties
2025-07-02T14:45:57.637546,openai/o4-mini,5,205,0.000005,0.000902,0.000907,Pizza delivery with dessert options
2025-07-02T14:45:58.245398,openai/o4-mini,6,704,0.000007,0.003098,0.003104,Online pizza ordering with vegetarian options
2025-07-02T14:45:58.340607,anthropic/claude-3.5-haiku-20241022:beta,12,272,0.000010,0.001088,0.001098,Pizza ordering for group parties
2025-07-02T14:45:59.027930,perplexity/sonar-pro,5,500,0.000015,0.007500,0.007515,Pizza ordering for group parties
